key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20090927_Green Bay_Los Angeles,20090927,home,Los Angeles,Green Bay,+6.5,-105,+6.5,-108,,,+7,-110,+6.5,-110,,,+6.5,-110
20090927_Atlanta_New England,20090927,away,Atlanta,New England,+4.5,-109,+4.5,-108,,,+4.5,-110,+4.5,-110,,,+4.5,-110
20090927_Atlanta_New England,20090927,home,New England,Atlanta,-4.5,+101,-4.5,-102,,,-4.5,-110,-4.5,-110,,,-4.5,-110
20090927_San Francisco_Minnesota,20090927,away,San Francisco,Minnesota,+7,-114,+6.5,+100,,,+7,-120,+6.5,-110,,,+6.5,-110
20090927_San Francisco_Minnesota,20090927,home,Minnesota,San Francisco,-7,+105,-6.5,-110,,,-7,+100,-6.5,-110,,,-6.5,-110
20090927_Jacksonville_Houston,20090927,away,Jacksonville,Houston,+4,-104,+4,-104,,,+4,-105,+4,-110,,,+4,-110
20090927_Jacksonville_Houston,20090927,home,Houston,Jacksonville,-4,-104,-4,-106,,,-4,-115,-4,-110,,,-4,-110
20090927_Washington_Detroit,20090927,away,Washington,Detroit,-6.5,+102,-6.5,-101,,,-6.5,+105,-6,-110,,,-6,-110
20090927_Washington_Detroit,20090927,home,Detroit,Washington,+6.5,-110,+6.5,-109,,,+6.5,-125,+6,-110,,,+6,-110
20090927_Tennessee_N.Y. Jets,20090927,away,Tennessee,N.Y. Jets,+1,-102,+1,-105,,,+3,-155,+1,-110,,,+1,-110
20090927_Tennessee_N.Y. Jets,20090927,home,N.Y. Jets,Tennessee,-1,-106,-1,-105,,,-3,+135,-1,-110,,,-1,-110
20090927_New Orleans_Buffalo,20090927,away,New Orleans,Buffalo,-5.5,-105,-5.5,-102,,,-6,-110,-5.5,-110,,,-5.5,-110
20090927_New Orleans_Buffalo,20090927,home,Buffalo,New Orleans,+5.5,-103,+5.5,-108,,,+6,-110,+5.5,-110,,,+5.5,-110
20090927_Chicago_Seattle,20090927,away,Chicago,Seattle,-1,-130,-2.5,-113,,,-3,-115,-2.5,-120,,,-3,+100
20090927_Chicago_Seattle,20090927,home,Seattle,Chicago,+1,+120,+2.5,+103,,,+3,-105,+2.5,+100,,,+3,-120
20090927_Denver_Oakland,20090927,away,Denver,Oakland,-1,-121,-2,-109,,,-2,-110,-2.5,-110,,,-2,-110
20090927_Denver_Oakland,20090927,home,Oakland,Denver,+1,+112,+2,-101,,,+2,-110,+2.5,-110,,,+2,-110
