key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20111127_Houston_Jacksonville,20111127,away,Houston,Jacksonville,-6,-108,-6.5,-102,-6,-115,-7,-105,-6,-115,,,-6,-115
20111127_Houston_Jacksonville,20111127,home,Jacksonville,Houston,+6,+100,+6.5,-108,+6,-105,+7,-115,+6,-105,,,+6,-105
20111127_Tampa Bay_Tennessee,20111127,away,Tampa Bay,Tennessee,+3,+100,+3,-102,+3,-110,+3,-110,+3,-110,,,+3,-105
20111127_Tampa Bay_Tennessee,20111127,home,Tennessee,Tampa Bay,-3,-108,-3,-108,-3,-110,-3,-110,-3,-110,,,-3,-115
20111127_Cleveland_Cincinnati,20111127,away,Cleveland,Cincinnati,+6.5,-108,+6.5,-108,+6.5,-110,+7,-110,+6,-110,,,+6,-110
20111127_Cleveland_Cincinnati,20111127,home,Cincinnati,Cleveland,-6.5,+100,-6.5,-102,-6.5,-110,-7,-110,-6,-110,,,-6,-110
20111127_Carolina_Indianapolis,20111127,away,Carolina,Indianapolis,-3.5,+104,-3.5,-102,-3.5,-110,-4,-110,-3.5,-105,,,-3.5,-110
20111127_Carolina_Indianapolis,20111127,home,Indianapolis,Carolina,+3.5,-113,+3.5,-108,+3.5,-110,+4,-110,+3.5,-115,,,+3.5,-110
20111127_Washington_Seattle,20111127,away,Washington,Seattle,+3,-113,+3,-113,+3,-115,+3,-110,+3,-115,,,+3,-120
20111127_Washington_Seattle,20111127,home,Seattle,Washington,-3,+104,-3,+103,-3,-105,-3,-110,-3,-105,,,-3,+100
20111127_Chicago_Oakland,20111127,away,Chicago,Oakland,+3,-113,+2.5,+110,+3,-125,+3,-110,+2.5,+100,,,+3,-120
20111127_Chicago_Oakland,20111127,home,Oakland,Chicago,-3,+104,-2.5,-120,-3,+105,-3,-110,-2.5,-120,,,-3,+100
20111127_New England_Philadelphia,20111127,away,New England,Philadelphia,-3,+106,-3,+103,-3,-110,-3.5,-110,-3,-110,,,-3,+100
20111127_New England_Philadelphia,20111127,home,Philadelphia,New England,+3,-115,+3,-113,+3,-110,+3.5,-110,+3,-110,,,+3,-120
20111127_Denver_San Diego,20111127,away,Denver,San Diego,+4.5,-108,+4.5,-105,+4.5,-110,+5,-110,+4,-105,,,+4.5,-115
20111127_Denver_San Diego,20111127,home,San Diego,Denver,-4.5,+100,-4.5,-105,-4.5,-110,-5,-110,-4,-115,,,-4.5,-105
20111127_Pittsburgh_Kansas City,20111127,away,Pittsburgh,Kansas City,-10.5,+102,-10.5,-102,-10.5,-110,-13,-110,-10.5,-110,,,-11,-110
20111127_Pittsburgh_Kansas City,20111127,home,Kansas City,Pittsburgh,+10.5,-110,+10.5,-108,+10.5,-110,+13,-110,+10.5,-110,,,+11,-110
20111128_N.Y. Giants_New Orleans,20111128,away,N.Y. Giants,New Orleans,+7,-105,+7,-108,+7,-110,+7.5,-105,+7,-110,,,+7,-105
20111128_N.Y. Giants_New Orleans,20111128,home,New Orleans,N.Y. Giants,-7,-103,-7,-102,-7,-110,-7.5,-115,-7,-110,,,-7,-115
20111201_Philadelphia_Seattle,20111201,away,Philadelphia,Seattle,-3,-106,-3,-101,-3,-105,-3,-120,-3,-110,,,-3,-110
20111201_Philadelphia_Seattle,20111201,home,Seattle,Philadelphia,+3,-102,+3,-109,+3,-115,+3,+100,+3,-110,,,+3,-110
20111204_Oakland_Miami,20111204,away,Oakland,Miami,+3.5,-119,+3,+105,+3,+100,+3,-105,+3,+100,,,+3,-105
20111204_Oakland_Miami,20111204,home,Miami,Oakland,-3.5,+110,-3,-115,-3,-120,-3,-115,-3,-120,,,-3,-115
20111204_Atlanta_Houston,20111204,away,Atlanta,Houston,-1,-113,-1.5,-107,-2,-110,-2,-115,-1.5,-115,,,-2,-110
20111204_Atlanta_Houston,20111204,home,Houston,Atlanta,+1,+104,+1.5,-103,+2,-110,+2,-105,+1.5,-105,,,+2,-110
20111204_Tennessee_Buffalo,20111204,away,Tennessee,Buffalo,+1,-107,+1,-109,+1,-110,+1,-110,+1,-110,,,+1,-110
20111204_Tennessee_Buffalo,20111204,home,Buffalo,Tennessee,-1,-101,-1,-101,-1,-110,-1,-110,-1,-110,,,-1,-110
20111204_Kansas City_Chicago,20111204,away,Kansas City,Chicago,+9,-109,+9,-108,+9,-115,+9,-110,+9,-110,,,+9,-110
20111204_Kansas City_Chicago,20111204,home,Chicago,Kansas City,-9,+101,-9,-102,-9,-105,-9,-110,-9,-110,,,-9,-110
20111204_N.Y. Jets_Washington,20111204,away,N.Y. Jets,Washington,-3,-110,-3,-115,-3,-115,-3,-120,-3,-120,,,-3,-115
20111204_N.Y. Jets_Washington,20111204,home,Washington,N.Y. Jets,+3,+102,+3,+105,+3,-105,+3,+100,+3,+100,,,+3,-105
20111204_Cincinnati_Pittsburgh,20111204,away,Cincinnati,Pittsburgh,+7,-107,+7,-107,+7,-110,+7,-110,+7,-110,,,+7,-110
20111204_Cincinnati_Pittsburgh,20111204,home,Pittsburgh,Cincinnati,-7,-101,-7,-103,-7,-110,-7,-110,-7,-110,,,-7,-110
20111204_Carolina_Tampa Bay,20111204,away,Carolina,Tampa Bay,-1,-125,-2.5,-110,-2.5,-110,+3,-105,-1.5,-120,,,-2.5,-110
20111204_Carolina_Tampa Bay,20111204,home,Tampa Bay,Carolina,+1,+115,+2.5,+100,+2.5,-110,-3,-115,+1.5,+100,,,+2.5,-110
20111204_Denver_Minnesota,20111204,away,Denver,Minnesota,+1,+115,+2.5,-108,+1.5,-105,+1,-110,+1.5,+100,,,+1.5,-110
20111204_Denver_Minnesota,20111204,home,Minnesota,Denver,-1,-125,-2.5,-102,-1.5,-115,-1,-110,-1.5,-120,,,-1.5,-110
20111204_Indianapolis_New England,20111204,away,Indianapolis,New England,+20.5,-104,+20.5,-105,+20.5,-115,+21,-110,+20.5,-110,,,+20,-110
20111204_Indianapolis_New England,20111204,home,New England,Indianapolis,-20.5,-104,-20.5,-105,-20.5,-105,-21,-110,-20.5,-110,,,-20,-110
20111204_Baltimore_Cleveland,20111204,away,Baltimore,Cleveland,-7,+106,-7,-101,-7,-110,-7,-115,-7,-105,,,-7,-105
20111204_Baltimore_Cleveland,20111204,home,Cleveland,Baltimore,+7,-115,+7,-109,+7,-110,+7,-105,+7,-115,,,+7,-115
20111204_Dallas_Arizona,20111204,away,Dallas,Arizona,-4,-105,-4,-105,-4.5,-110,-5,-110,-4,-110,,,-4,-110
20111204_Dallas_Arizona,20111204,home,Arizona,Dallas,+4,-103,+4,-105,+4.5,-110,+5,-110,+4,-110,,,+4,-110
20111204_Green Bay_N.Y. Giants,20111204,away,Green Bay,N.Y. Giants,-7,+100,-7,-102,-7,-110,-7.5,-110,-7,-105,,,-7,-105
20111204_Green Bay_N.Y. Giants,20111204,home,N.Y. Giants,Green Bay,+7,-108,+7,-108,+7,-110,+7.5,-110,+7,-115,,,+7,-115
20111204_Los Angeles_San Francisco,20111204,away,Los Angeles,San Francisco,+14,+103,+14.5,-108,+14,-110,+14.5,-110,+14,-105,,,+14,-110
20111204_Los Angeles_San Francisco,20111204,home,San Francisco,Los Angeles,-14,-111,-14.5,-102,-14,-110,-14.5,-110,-14,-115,,,-14,-110
20111204_Detroit_New Orleans,20111204,away,Detroit,New Orleans,+9.5,-104,+8.5,-105,+9,-120,+9,+105,+9,-115,,,+9,-110
20111204_Detroit_New Orleans,20111204,home,New Orleans,Detroit,-9.5,-104,-8.5,-105,-9,+100,-9,-125,-9,-105,,,-9,-110
20111208_Cleveland_Pittsburgh,20111208,away,Cleveland,Pittsburgh,+14,-105,+14,-101,+14,-110,+14.5,-115,+14,-105,,,+14,-110
20111208_Cleveland_Pittsburgh,20111208,home,Pittsburgh,Cleveland,-14,-103,-14,-109,-14,-110,-14.5,-105,-14,-115,,,-14,-110
20111211_Atlanta_Carolina,20111211,away,Atlanta,Carolina,-3,+110,-3,+105,-3,+105,-3,-105,-1.5,-130,,,-3,+100
20111211_Atlanta_Carolina,20111211,home,Carolina,Atlanta,+3,-119,+3,-115,+3,-125,+3,-115,+1.5,+110,,,+3,-120
20111211_Tampa Bay_Jacksonville,20111211,away,Tampa Bay,Jacksonville,-3,+110,-2.5,-120,-3,+100,-3,-105,-2.5,-120,,,-3,+100
20111211_Tampa Bay_Jacksonville,20111211,home,Jacksonville,Tampa Bay,+3,-119,+2.5,+110,+3,-120,+3,-115,+2.5,+100,,,+3,-120
20111211_New England_Washington,20111211,away,New England,Washington,-7.5,+106,-7,-106,-7.5,-105,-9,-105,-7.5,-110,,,-7,-115
20111211_New England_Washington,20111211,home,Washington,New England,+7.5,-115,+7,-104,+7.5,-115,+9,-115,+7.5,-110,,,+7,-105
20111211_Kansas City_N.Y. Jets,20111211,away,Kansas City,N.Y. Jets,+10.5,-106,+10.5,-107,+10.5,-110,+11,-110,+10.5,-110,,,+10.5,-110
20111211_Kansas City_N.Y. Jets,20111211,home,N.Y. Jets,Kansas City,-10.5,-102,-10.5,-103,-10.5,-110,-11,-110,-10.5,-110,,,-10.5,-110
20111211_Minnesota_Detroit,20111211,away,Minnesota,Detroit,+10,-103,+10.5,-108,+10.5,-110,+10.5,-110,+10,-110,,,+10,-110
20111211_Minnesota_Detroit,20111211,home,Detroit,Minnesota,-10,-105,-10.5,-102,-10.5,-110,-10.5,-110,-10,-110,,,-10,-110
20111211_Philadelphia_Miami,20111211,away,Philadelphia,Miami,+3,-125,+2.5,+100,+3,-130,+3,-110,+1,+110,,,+3,-125
20111211_Philadelphia_Miami,20111211,home,Miami,Philadelphia,-3,+115,-2.5,-110,-3,+110,-3,-110,-1,-130,,,-3,+105
20111211_Indianapolis_Baltimore,20111211,away,Indianapolis,Baltimore,+16.5,-105,+16.5,-108,+16,-110,+17,-125,+16,-110,,,+16,-110
20111211_Indianapolis_Baltimore,20111211,home,Baltimore,Indianapolis,-16.5,-103,-16.5,-102,-16,-110,-17,+105,-16,-110,,,-16,-110
20111211_Chicago_Denver,20111211,away,Chicago,Denver,+3.5,-117,+3,+100,+3,+100,+3.5,-115,+3,-105,,,+3,+100
20111211_Chicago_Denver,20111211,home,Denver,Chicago,-3.5,+108,-3,-110,-3,-120,-3.5,-105,-3,-115,,,-3,-120
20111211_San Francisco_Arizona,20111211,away,San Francisco,Arizona,-3.5,+112,-3.5,+105,-3.5,-105,-4.5,-105,-3.5,+100,,,-3.5,-110
20111211_San Francisco_Arizona,20111211,home,Arizona,San Francisco,+3.5,-121,+3.5,-115,+3.5,-115,+4.5,-115,+3.5,-120,,,+3.5,-110
20111211_Buffalo_San Diego,20111211,away,Buffalo,San Diego,+7,-104,+7,-105,+7,-115,+7,+100,+7,-115,,,+7,-115
20111211_Buffalo_San Diego,20111211,home,San Diego,Buffalo,-7,-104,-7,-105,-7,-105,-7,-120,-7,-105,,,-7,-105
20111211_Oakland_Green Bay,20111211,away,Oakland,Green Bay,+11.5,-101,+11.5,-106,+11.5,-110,+13,-110,+11.5,-115,,,+12,-110
20111211_Oakland_Green Bay,20111211,home,Green Bay,Oakland,-11.5,-107,-11.5,-104,-11.5,-110,-13,-110,-11.5,-105,,,-12,-110
20111211_N.Y. Giants_Dallas,20111211,away,N.Y. Giants,Dallas,+4.5,-101,+4.5,-107,+4,-105,+3,+125,+4.5,-110,,,+4.5,-110
20111211_N.Y. Giants_Dallas,20111211,home,Dallas,N.Y. Giants,-4.5,-107,-4.5,-103,-4,-115,-3,-145,-4.5,-110,,,-4.5,-110
20111212_Los Angeles_Seattle,20111212,away,Los Angeles,Seattle,+9,-117,+8.5,-102,+9,-115,+10,-115,+9,-120,,,+8.5,-110
20111212_Los Angeles_Seattle,20111212,home,Seattle,Los Angeles,-9,+108,-8.5,-108,-9,-105,-10,-105,-9,+100,,,-8.5,-110
20111215_Jacksonville_Atlanta,20111215,away,Jacksonville,Atlanta,+14,-104,+14,-109,+13.5,-110,+14,-115,+13.5,-115,,,+13.5,-110
20111215_Jacksonville_Atlanta,20111215,home,Atlanta,Jacksonville,-14,-104,-14,-101,-13.5,-110,-14,-105,-13.5,-105,,,-13.5,-110
20111217_Dallas_Tampa Bay,20111217,away,Dallas,Tampa Bay,-7,-110,-7,-112,-7,-110,-8,-110,-7,-115,,,-7,-115
20111217_Dallas_Tampa Bay,20111217,home,Tampa Bay,Dallas,+7,+102,+7,+102,+7,-110,+8,-110,+7,-105,,,+7,-105
20111218_Cincinnati_Los Angeles,20111218,away,Cincinnati,Los Angeles,-7,+100,-7,-105,-7,-110,-7.5,-105,-7,-105,,,-7,-110
20111218_Cincinnati_Los Angeles,20111218,home,Los Angeles,Cincinnati,+7,-108,+7,-105,+7,-110,+7.5,-115,+7,-115,,,+7,-110
20111218_Tennessee_Indianapolis,20111218,away,Tennessee,Indianapolis,-6.5,-103,-6.5,-102,-6.5,-110,-7,-110,-6.5,-105,,,-6.5,-115
20111218_Tennessee_Indianapolis,20111218,home,Indianapolis,Tennessee,+6.5,-105,+6.5,-108,+6.5,-110,+7,-110,+6.5,-115,,,+6.5,-105
20111218_Seattle_Chicago,20111218,away,Seattle,Chicago,+3.5,+102,+3.5,-103,+3.5,+100,+3.5,-110,+3.5,-110,,,+3.5,-110
20111218_Seattle_Chicago,20111218,home,Chicago,Seattle,-3.5,-110,-3.5,-107,-3.5,-120,-3.5,-110,-3.5,-110,,,-3.5,-110
20111218_Green Bay_Kansas City,20111218,away,Green Bay,Kansas City,-11,+100,-11.5,-101,-11,-110,-12,-115,-11,-110,,,-11.5,-110
20111218_Green Bay_Kansas City,20111218,home,Kansas City,Green Bay,+11,-108,+11.5,-109,+11,-110,+12,-105,+11,-110,,,+11.5,-110
20111218_Carolina_Houston,20111218,away,Carolina,Houston,+4.5,+107,+5,-107,+4.5,-105,+5,-110,+4.5,+100,,,+5,-110
20111218_Carolina_Houston,20111218,home,Houston,Carolina,-4.5,-116,-5,-103,-4.5,-115,-5,-110,-4.5,-120,,,-5,-110
20111218_New Orleans_Minnesota,20111218,away,New Orleans,Minnesota,-7,-107,-7,-105,-7,-110,-8,-105,-7,-110,,,-7.5,-105
20111218_New Orleans_Minnesota,20111218,home,Minnesota,New Orleans,+7,-101,+7,-105,+7,-110,+8,-115,+7,-110,,,+7.5,-115
20111218_Detroit_Oakland,20111218,away,Detroit,Oakland,-1,-137,-2.5,-120,-2.5,-120,-3,-110,-2.5,-120,,,-3,+100
20111218_Detroit_Oakland,20111218,home,Oakland,Detroit,+1,+126,+2.5,+110,+2.5,+100,+3,-110,+2.5,+100,,,+3,-120
20111218_Cleveland_Arizona,20111218,away,Cleveland,Arizona,+6,-104,+6,-105,+6,-115,+6,-105,+5.5,-110,,,+6,-110
20111218_Cleveland_Arizona,20111218,home,Arizona,Cleveland,-6,-104,-6,-105,-6,-105,-6,-115,-5.5,-110,,,-6,-110
20111218_N.Y. Jets_Philadelphia,20111218,away,N.Y. Jets,Philadelphia,+3,+102,+3,-102,+3,-110,+3,-110,+3,-110,,,+3,-110
20111218_N.Y. Jets_Philadelphia,20111218,home,Philadelphia,N.Y. Jets,-3,-110,-3,-108,-3,-110,-3,-110,-3,-110,,,-3,-110
20111218_New England_Denver,20111218,away,New England,Denver,-7,+106,-7,-105,-7,-110,-7.5,-115,-7,-110,,,-7,-105
20111218_New England_Denver,20111218,home,Denver,New England,+7,-115,+7,-105,+7,-110,+7.5,-105,+7,-110,,,+7,-115
20111218_Baltimore_San Diego,20111218,away,Baltimore,San Diego,-1,-104,-1,-107,-2,-115,-3,+105,-1,-110,,,-1,-110
20111218_Baltimore_San Diego,20111218,home,San Diego,Baltimore,+1,-104,+1,-103,+2,-105,+3,-125,+1,-110,,,+1,-110
20111219_Pittsburgh_San Francisco,20111219,away,Pittsburgh,San Francisco,+3,+102,+3,+103,+3,-105,+3,-110,+3,-105,,,+3,-105
20111219_Pittsburgh_San Francisco,20111219,home,San Francisco,Pittsburgh,-3,-110,-3,-113,-3,-115,-3,-110,-3,-115,,,-3,-115
20111222_Houston_Indianapolis,20111222,away,Houston,Indianapolis,-7,+105,-7,-102,-7,-105,-7,-125,-7,-105,,,-7,-110
20111222_Houston_Indianapolis,20111222,home,Indianapolis,Houston,+7,-114,+7,-108,+7,-115,+7,+105,+7,-115,,,+7,-110
20111224_Oakland_Kansas City,20111224,away,Oakland,Kansas City,+3,-108,+2.5,+110,+2.5,-110,+3,-120,+2.5,+105,,,+3,-115
20111224_Oakland_Kansas City,20111224,home,Kansas City,Oakland,-3,+100,-2.5,-120,-2.5,-110,-3,+100,-2.5,-125,,,-3,-105
20111224_Miami_New England,20111224,away,Miami,New England,+7.5,-108,+7,+100,+9.5,-110,+9,-130,+7,-105,,,+7,-105
20111224_Miami_New England,20111224,home,New England,Miami,-7.5,+100,-7,-110,-9.5,-110,-9,+110,-7,-115,,,-7,-115
20111224_Cleveland_Baltimore,20111224,away,Cleveland,Baltimore,+10.5,-105,+10.5,-108,+12.5,-110,+11.5,-110,+10.5,-110,,,+11,-110
20111224_Cleveland_Baltimore,20111224,home,Baltimore,Cleveland,-10.5,-103,-10.5,-102,-12.5,-110,-11.5,-110,-10.5,-110,,,-11,-110
20111224_Minnesota_Washington,20111224,away,Minnesota,Washington,+6,-101,+6,-103,+6.5,-110,+6,-105,+6,-110,,,+6,-110
20111224_Minnesota_Washington,20111224,home,Washington,Minnesota,-6,-107,-6,-107,-6.5,-110,-6,-115,-6,-110,,,-6,-110
20111224_Denver_Buffalo,20111224,away,Denver,Buffalo,-3,+106,-2.5,-115,-2.5,-110,-3,-110,-3,+105,,,-3,-105
20111224_Denver_Buffalo,20111224,home,Buffalo,Denver,+3,-115,+2.5,+105,+2.5,-110,+3,-110,+3,-125,,,+3,-115
20111224_Los Angeles_Pittsburgh,20111224,away,Los Angeles,Pittsburgh,+10,-104,+10,-109,,,+10,-105,+9.5,-110,,,+10,-115
20111224_Los Angeles_Pittsburgh,20111224,home,Pittsburgh,Los Angeles,-10,-104,-10,-101,,,-10,-115,-9.5,-110,,,-10,-105
20111224_N.Y. Giants_N.Y. Jets,20111224,away,N.Y. Giants,N.Y. Jets,+1.5,+121,+3,-115,+3,-120,+3,-135,+2,+100,,,+3,-125
20111224_N.Y. Giants_N.Y. Jets,20111224,home,N.Y. Jets,N.Y. Giants,-1.5,-131,-3,+105,-3,+100,-3,+115,-2,-120,,,-3,+105
20111224_Tampa Bay_Carolina,20111224,away,Tampa Bay,Carolina,+9,-120,+7.5,-105,+7.5,-105,+8,-105,+9,-120,,,+7.5,-105
20111224_Tampa Bay_Carolina,20111224,home,Carolina,Tampa Bay,-9,+111,-7.5,-105,-7.5,-115,-8,-115,-9,+100,,,-7.5,-115
20111224_Jacksonville_Tennessee,20111224,away,Jacksonville,Tennessee,+8.5,-101,+8.5,-103,+7.5,-115,+8,+100,+9,-125,,,+8.5,-110
20111224_Jacksonville_Tennessee,20111224,home,Tennessee,Jacksonville,-8.5,-107,-8.5,-107,-7.5,-105,-8,-120,-9,+105,,,-8.5,-110
20111224_San Diego_Detroit,20111224,away,San Diego,Detroit,-1,+106,+1,-105,+2.5,-110,-1.5,-105,PK-11,PK-110,,,PK-11,PK-110
20111224_San Diego_Detroit,20111224,home,Detroit,San Diego,+1,-115,-1,-105,-2.5,-110,+1.5,-115,PK-11,PK-110,,,PK-11,PK-110
20111224_Philadelphia_Dallas,20111224,away,Philadelphia,Dallas,-1.5,-115,-2,-107,+2,-105,-2,-120,-2,-110,,,-2.5,-115
20111224_Philadelphia_Dallas,20111224,home,Dallas,Philadelphia,+1.5,+106,+2,-103,-2,-115,+2,+100,+2,-110,,,+2.5,-105
20111224_San Francisco_Seattle,20111224,away,San Francisco,Seattle,-1.5,-113,-2.5,-103,-2,-110,-2,-125,-2.5,-110,,,-2,-110
20111224_San Francisco_Seattle,20111224,home,Seattle,San Francisco,+1.5,+104,+2.5,-107,+2,-110,+2,+105,+2.5,-110,,,+2,-110
20111226_Atlanta_New Orleans,20111226,away,Atlanta,New Orleans,+7,-105,+7,-103,+7,-110,+7.5,-115,+7,-110,,,+7,-110
20111226_Atlanta_New Orleans,20111226,home,New Orleans,Atlanta,-7,-103,-7,-107,-7,-110,-7.5,-105,-7,-110,,,-7,-110
20120101_Washington_Philadelphia,20120101,away,Washington,Philadelphia,+7,-106,+7,+100,+7,-105,+8,-115,+7,-115,,,+7,-110
20120101_Washington_Philadelphia,20120101,home,Philadelphia,Washington,-7,-102,-7,-110,-7,-115,-8,-105,-7,-105,,,-7,-110
20120101_N.Y. Jets_Miami,20120101,away,N.Y. Jets,Miami,+1.5,+101,+1.5,-101,+2,-110,+3,-120,+1.5,-110,,,+2,-110
20120101_N.Y. Jets_Miami,20120101,home,Miami,N.Y. Jets,-1.5,-109,-1.5,-109,-2,-110,-3,+100,-1.5,-110,,,-2,-110
20120101_Carolina_New Orleans,20120101,away,Carolina,New Orleans,+7,-105,+7,-102,+7,-110,+8,-115,+7,-110,,,+7,-110
20120101_Carolina_New Orleans,20120101,home,New Orleans,Carolina,-7,-103,-7,-108,-7,-110,-8,-105,-7,-110,,,-7,-110
20120101_Detroit_Green Bay,20120101,away,Detroit,Green Bay,-6.5,-105,-6.5,-111,-6.5,-120,-7,+100,-6.5,-115,,,-6.5,-115
20120101_Detroit_Green Bay,20120101,home,Green Bay,Detroit,+6.5,-103,+6.5,+101,+6.5,+100,+7,-120,+6.5,-105,,,+6.5,-105
20120101_San Francisco_Los Angeles,20120101,away,San Francisco,Los Angeles,-12.5,-102,-12.5,-106,-12.5,-110,-12,-120,-13,-110,,,-12.5,-110
20120101_San Francisco_Los Angeles,20120101,home,Los Angeles,San Francisco,+12.5,-106,+12.5,-104,+12.5,-110,+12,+100,+13,-110,,,+12.5,-110
20120101_Indianapolis_Jacksonville,20120101,away,Indianapolis,Jacksonville,+3,-101,+3,-101,+3,-105,+3.5,-140,+3,-110,,,+3,-110
20120101_Indianapolis_Jacksonville,20120101,home,Jacksonville,Indianapolis,-3,-107,-3,-109,-3,-115,-3.5,+120,-3,-110,,,-3,-110
20120101_Buffalo_New England,20120101,away,Buffalo,New England,+10,-101,+10,-103,+10,-110,+10.5,-110,+10,-110,,,+10,-110
20120101_Buffalo_New England,20120101,home,New England,Buffalo,-10,-107,-10,-107,-10,-110,-10.5,-110,-10,-110,,,-10,-110
20120101_Tennessee_Houston,20120101,away,Tennessee,Houston,-1,-124,-2.5,-105,-1.5,-115,-1.5,-120,-2.5,-110,,,-2,-115
20120101_Tennessee_Houston,20120101,home,Houston,Tennessee,+1,+115,+2.5,-105,+1.5,-105,+1.5,+100,+2.5,-110,,,+2,-105
20120101_Chicago_Minnesota,20120101,away,Chicago,Minnesota,+1.5,+120,+2.5,+110,+2.5,-110,+2,+100,+1.5,+110,,,+2.5,-105
20120101_Chicago_Minnesota,20120101,home,Minnesota,Chicago,-1.5,-130,-2.5,-120,-2.5,-110,-2,-120,-1.5,-130,,,-2.5,-115
20120101_Pittsburgh_Cleveland,20120101,away,Pittsburgh,Cleveland,-7,-114,-7.5,+100,-7,-115,-7.5,-110,-7,-115,,,-7.5,-110
20120101_Pittsburgh_Cleveland,20120101,home,Cleveland,Pittsburgh,+7,+105,+7.5,-110,+7,-105,+7.5,-110,+7,-105,,,+7.5,-110
20120101_Baltimore_Cincinnati,20120101,away,Baltimore,Cincinnati,-2.5,-121,-2.5,-124,-3,+100,-3,-110,-3,-110,,,-3,-105
20120101_Baltimore_Cincinnati,20120101,home,Cincinnati,Baltimore,+2.5,+112,+2.5,+114,+3,-120,+3,-110,+3,-110,,,+3,-115
20120101_Kansas City_Denver,20120101,away,Kansas City,Denver,+1,+110,+2,-104,+1.5,-110,+3.5,-140,+1,+105,,,+2,-110
20120101_Kansas City_Denver,20120101,home,Denver,Kansas City,-1,-119,-2,-106,-1.5,-110,-3.5,+120,-1,-125,,,-2,-110
20120101_San Diego_Oakland,20120101,away,San Diego,Oakland,+2.5,+100,+2.5,+100,+2.5,-105,+3,-130,+3,-130,,,+2.5,-105
20120101_San Diego_Oakland,20120101,home,Oakland,San Diego,-2.5,-108,-2.5,-110,-2.5,-115,-3,+110,-3,+110,,,-2.5,-115
20120101_Seattle_Arizona,20120101,away,Seattle,Arizona,+2.5,-102,+2.5,-105,+2.5,-110,+3,-140,+1,+115,,,+2.5,-110
20120101_Seattle_Arizona,20120101,home,Arizona,Seattle,-2.5,-106,-2.5,-105,-2.5,-110,-3,+120,-1,-135,,,-2.5,-110
20120101_Dallas_N.Y. Giants,20120101,away,Dallas,N.Y. Giants,+3,-109,+3,-105,+3,-105,+3.5,-115,+3,-110,,,+3,+100
20120101_Dallas_N.Y. Giants,20120101,home,N.Y. Giants,Dallas,-3,+101,-3,-105,-3,-115,-3.5,-105,-3,-110,,,-3,-120
20120107_Cincinnati_Houston,20120107,away,Cincinnati,Houston,+4,+103,+4,-105,+4,-110,+4,-110,+4,-110,,,+4,-110
20120107_Cincinnati_Houston,20120107,home,Houston,Cincinnati,-4,-111,-4,-105,-4,-110,-4,-110,-4,-110,,,-4,-110
20120107_Detroit_New Orleans,20120107,away,Detroit,New Orleans,+10.5,-116,+10,-102,+10.5,-115,+11,-110,+10.5,-110,,,+10.5,-110
20120107_Detroit_New Orleans,20120107,home,New Orleans,Detroit,-10.5,+107,-10,-108,-10.5,-105,-11,-110,-10.5,-110,,,-10.5,-110
20120108_Pittsburgh_Denver,20120108,away,Pittsburgh,Denver,-7.5,+102,-7.5,+100,-7.5,-105,-8.5,-110,-7.5,-105,,,-7.5,-110
20120108_Pittsburgh_Denver,20120108,home,Denver,Pittsburgh,+7.5,-110,+7.5,-110,+7.5,-115,+8.5,-110,+7.5,-115,,,+7.5,-110
20120114_New Orleans_San Francisco,20120114,away,New Orleans,San Francisco,-3.5,+111,-3.5,+108,-3.5,+105,-4,-110,-3,-130,,,-3.5,-105
20120114_New Orleans_San Francisco,20120114,home,San Francisco,New Orleans,+3.5,-120,+3.5,-118,+3.5,-125,+4,-110,+3,+110,,,+3.5,-115
20120114_Denver_New England,20120114,away,Denver,New England,+14,+100,+14,-105,+14,-110,+14,-105,+14,-110,,,+14,-110
20120114_Denver_New England,20120114,home,New England,Denver,-14,-108,-14,-105,-14,-110,-14,-115,-14,-110,,,-14,-110
20120115_Houston_Baltimore,20120115,away,Houston,Baltimore,+7.5,-110,+7.5,-108,+7.5,-110,+9,-115,+8,-110,,,+7.5,-110
20120115_Houston_Baltimore,20120115,home,Baltimore,Houston,-7.5,+102,-7.5,-102,-7.5,-110,-9,-105,-8,-110,,,-7.5,-110
20120115_N.Y. Giants_Green Bay,20120115,away,N.Y. Giants,Green Bay,+8.5,+100,+8.5,-110,+7.5,-110,+9,-115,+8.5,-110,,,+8,-110
20120115_N.Y. Giants_Green Bay,20120115,home,Green Bay,N.Y. Giants,-8.5,-108,-8.5,-110,-7.5,-110,-9,-105,-8.5,-110,,,-8,-110
20120122_Baltimore_New England,20120122,away,Baltimore,New England,+7,-108,+7,-108,+7,-115,+9,-120,+7,-110,,,+7,-110
20120122_Baltimore_New England,20120122,home,New England,Baltimore,-7,+100,-7,-102,-7,-105,-9,+100,-7,-110,,,-7,-110
20120205_N.Y. Giants_New England,20120205,away,N.Y. Giants,New England,+3,-109,+2.5,+109,+2.5,+105,+3,-105,+2.5,+105,,,+3,-115
20120205_N.Y. Giants_New England,20120205,home,New England,N.Y. Giants,-3,+103,-2.5,-119,-2.5,-125,-3,-115,-2.5,-125,,,-3,-105
20120805_Arizona_New Orleans,20120805,away,Arizona,New Orleans,+2.5,-105,+2.5,-105,+2.5,-115,+3,-115,+3,-125,,,+2.5,-110
